network users|.|115.80058960003713|.|337.13279222242795
buffer page|.|184.86922128133537|.|323.7888390141902
foreign socket|.|139.64525841232097|.|344.0089464508839
network host|.|294.26836924480983|.|97.7809116868145
network graphics meeting|.|281.20429573659044|.|96.00750590909081
control information|.|164.24672842821235|.|237.41144144550032
ames research|.|308.58775118645326|.|353.7387844016144
held|.|108.64756517017712|.|349.92036663250076
imp buffering|.|295.6572319499467|.|112.04927644305991
logger|.|324.13320429487817|.|314.1238534598167
channel|.|329.21121044564273|.|338.06109015763326
terminal user|.|146.83056011026594|.|342.47065190000495
network data|.|269.0497427893318|.|266.45534419714903
rand|.|178.70902787810562|.|102.51751616120134
heafner|.|69.72403331338492|.|132.13372955393473
deletion|.|183.86784235030245|.|327.6755928425983
drawing|.|67.39292802769431|.|121.23846844228592
network memos|.|161.36327169771417|.|108.29575449724469
rendezvous|.|317.4979646843934|.|343.8757841786313
link table|.|258.87274241370943|.|260.2110411050631
socket identifier|.|323.1027438706618|.|353.47008899239347
execution of programs|.|351.0692346359439|.|209.71063258898482
official list of host names|.|181.37103400281697|.|316.6318476508375
wednesday evening|.|296.6949096248604|.|101.23598128992998
logger protcol|.|293.25726981714587|.|113.16246119813661
network user|.|318.4003634797474|.|344.8279113625086
august|.|361.4872256481753|.|211.8571263373841
active|.|188.38838951863744|.|313.9032410315604
arpa network protocol|.|311.140499323472|.|342.30376403088025
discussion meeting|.|313.2344675638636|.|344.41877999214427
questions re|.|307.54768751782603|.|300.086035595016
input|.|63.20296975221788|.|125.39789786840501
status reports|.|289.6464522451965|.|116.327512228348
multiplexing|.|253.00695255967887|.|260.7857500329142
network meeting|.|185.648778738155|.|316.0777509079754
network mailing|.|153.69361586607278|.|244.3308125265474
word|.|261.0573895867445|.|274.42701219777837
foreign host|.|358.6147189228239|.|213.12942281940494
brodie request|.|69.12955019114794|.|131.3198006049612
beginning of each physical|.|294.4673647195842|.|112.10717668274576
gender|.|137.48489445108788|.|355.8006073847485
network meeting report|.|193.8443180680526|.|331.49939932673203
advanced computation|.|296.76980066108433|.|99.19061304528582
north|.|297.9423735031348|.|98.88889424451989
set data|.|69.40122279466857|.|130.50118243728843
terminal imp|.|140.19504515091958|.|358.8697677394694
graphical display description|.|144.01499308930707|.|354.1391725119025
two|.|173.03530214604075|.|120.53347962927783
serving|.|358.89094292869254|.|205.1644604069692
foreign|.|309.72655774951966|.|298.7697006024342
information center|.|69.67624862238293|.|124.71502469583326
data value|.|192.90167896262327|.|325.5613831858376
netcrt|.|181.01618273973713|.|321.4665636050652
list of host names|.|292.07521911486424|.|96.00414135491101
input devices|.|134.72211500738624|.|349.75388236750626
host connection|.|71.77324987254546|.|120.6295207275769
network working group|.|69.19351007594607|.|127.39570126749624
building block|.|294.7697095465803|.|106.35738044687716
sending|.|316.5260802016143|.|347.1475160956079
course|.|327.785331099682|.|342.0388642007538
term|.|270.136692939351|.|261.0335771622402
system calls|.|155.1654354462296|.|239.06752879403092
byte size|.|249.94329800814222|.|256.154220378276
tooth|.|196.72677182598193|.|319.4717850070514
annotation|.|65.04850416598751|.|118.73507879293369
controller|.|312.7814656684511|.|308.7265089961296
committee|.|136.9530102755973|.|343.4017685384348
manager|.|321.39979584032113|.|299.4443864484574
interface programs|.|314.80358227199054|.|311.785848351004
ira cotton|.|69.01979058554566|.|117.86420173462196
